Sample,   PC1,   PC2,     A,SiO2 wt%
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.28,  4.04,  2.87, 68.06
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-12.87,  1.22,  1.71, 64.73
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.50,  6.18,  4.14, 71.49
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.40,  4.24,   NaN, 67.95
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.62,  5.76,   NaN, 70.90
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.33,  4.23,  1.26, 68.52
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.46,  5.57,  1.76, 70.15
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-13.19,  2.53,  1.29, 66.11
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.11,  5.21,  1.01, 69.96
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.28,  3.15,  1.85, 67.00
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.26,  3.56,  1.45, 67.35
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-13.82,  3.15,  1.94, 66.86
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.17,  3.47,  1.51, 67.32
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.74,  3.58,  1.58, 67.55
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-14.54,  3.85,  2.02, 67.71
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.16,  5.62,  2.66, 70.05
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.81,  6.59,  1.89, 71.38
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-13.32,  2.81,  1.49, 66.56
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.10,  5.73,  2.77, 69.86
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-13.53,  2.89,  1.95, 66.32
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-15.31,  4.27,  2.10, 68.42
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.18,  7.45,  2.21, 73.28
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.96,  8.47,   NaN, 74.67
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.15,  7.52,  1.74, 73.47
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.67,  5.04,  1.63, 70.23
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.13,  7.65,  2.31, 73.47
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.44,  6.85,  1.88, 72.67
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.13,  6.72,  4.70, 72.18
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.31,  6.66,  2.70, 71.91
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.77,  7.00,   NaN, 72.66
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.80,  6.04,   NaN, 71.47
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.10,  6.39,   NaN, 71.78
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.75,  5.14,   NaN, 69.46
Yearron, 2003,-16.00,  4.41,   NaN, 68.82
Unpublished,-17.18,  5.29,  1.52, 69.88
Robb et al. 1986,-14.63,  4.74,   NaN, 67.85
Robb et al. 1986,-13.40,  3.69,   NaN, 66.70
Unpublished,-13.96,  2.96,   NaN, 66.82
Yearron, 2003,-19.71,  7.84,   NaN, 73.22
Yearron, 2003,-11.03,  4.87,   NaN, 65.17
Moyen et al. 2003,-16.65,  4.86,  6.62, 69.48
Moyen et al. 2003,-17.24,  5.46,   NaN, 70.58
Allen et al., 1986,-16.43,  4.85,   NaN, 69.27
Unpublished (GEUS),-19.02,  7.18,   NaN, 72.66
Unpublished (GEUS),-13.67,  2.08,   NaN, 65.40
Unpublished (GEUS),-12.26,  1.37,  2.95, 62.13
Unpublished (GEUS),-15.08,  3.93,   NaN, 67.74
Unpublished (GEUS),-19.35,  8.23,   NaN, 73.89
Unpublished (GEUS),-16.54,  5.04,  1.67, 69.40
Unpublished (GEUS),-17.21,  5.96,   NaN, 70.85
Unpublished (GEUS),-17.41,  6.38,   NaN, 71.40
Unpublished (GEUS),-17.65,  6.20,   NaN, 71.33
Unpublished (GEUS),-16.72,  5.35,   NaN, 70.06
Unpublished (GEUS),-11.97, -0.76,   NaN, 61.44
Unpublished (GEUS),-12.24,  2.09,   NaN, 64.95
Unpublished (GEUS),-19.46,  8.25,   NaN, 74.03
Unpublished (GEUS),-20.19,  8.85,   NaN, 74.81
Unpublished (GEUS),-19.89,  8.53,  1.84, 74.33
Garde, 1997,-14.52,  3.01,   NaN, 66.94
Garde, 1997,-17.66,  6.12,   NaN, 71.66
Garde, 1997,-19.15,  7.47,   NaN, 73.19
Garde, 1997,-19.20,  7.86,  1.42, 74.23
Garde, 1997,-14.57,  2.93,  1.41, 66.41
Garde, 1997,-16.44,  4.83,  2.31, 68.92
Garde, 1997,-23.24, 13.22,   NaN, 79.91
Garde, 1997,-19.36,  7.94,  2.86, 73.95
Garde, 1997, -8.96,  2.21,   NaN, 63.19
Garde, 1997, -9.67,  2.40,   NaN, 63.71
Garde, 1997, -8.68, -0.00,   NaN, 61.58
Benn and Moyen, 2008,-21.31, 10.37,  5.18, 75.64
Bédard, 2006,-20.04,  9.01,  2.31, 74.79
Bédard, 2006,-16.94,  6.88,  1.23, 70.61
Barbosa et al. 2004,-19.45,  8.27,   NaN, 73.36
Compiled by Martin and Moyen (2002),-16.67,  6.14,   NaN, 70.08
Compiled by Martin and Moyen (2002),-16.30,  5.19,   NaN, 69.43
Compiled by Martin and Moyen (2002),-18.79,  7.28,   NaN, 72.21
Compiled by Martin and Moyen (2002),-19.58,  8.16,   NaN, 73.09
Compiled by Martin and Moyen (2002),-20.81,  8.63,   NaN, 73.98
Compiled by Martin and Moyen (2002),-19.65,  8.60,   NaN, 73.48
Compiled by Martin and Moyen (2002),-17.49,  6.37,   NaN, 70.81
Compiled by Martin and Moyen (2002),-18.62,  7.33,   NaN, 72.17
Compiled by Martin and Moyen (2002),-18.68,  7.56,   NaN, 72.27
Compiled by Martin and Moyen (2002),-18.40,  6.75,   NaN, 71.90
Compiled by Martin and Moyen (2002),-20.03,  8.68,   NaN, 74.35
Compiled by Martin and Moyen (2002),-18.53,  7.04,   NaN, 71.90
Compiled by Martin and Moyen (2002),-18.08,  6.62,   NaN, 71.27
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-20.24,  8.79,  3.45, 73.92
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.90,  7.47,  2.38, 72.47
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.86,  6.43,  1.62, 71.27
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-21.09,  9.85,   NaN, 76.01
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-16.74,  5.46,  2.42, 69.84
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-17.51,  6.81,  2.63, 71.28
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.79,  7.58,  2.54, 72.78
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-18.34,  7.51,  2.46, 72.32
Unpublished (Pilbara / GSWA / AGSO / D. Champion),-19.61,  8.88,  2.72, 74.18
Yearron, 2003,-19.63,  7.85,   NaN, 72.95
Moyen et al. 2003,-19.45,  8.27, 12.17, 73.02
Moyen et al. 2003,-19.47,  8.08,   NaN, 73.24
Moyen et al. 2003,-19.47,  8.08,   NaN, 73.24
Unpublished (GEUS),-18.92,  7.37,  2.73, 72.31
Unpublished (GEUS),-18.45,  7.22,  2.61, 71.93
Unpublished (GEUS),-19.30,  8.32,  2.35, 73.24
Unpublished (GEUS),-18.03,  6.79,  2.84, 71.31
Garde, 1997,-19.90,  8.57,   NaN, 73.89
Garde, 1997,-19.80,  8.95,   NaN, 74.84
Compiled by Martin and Moyen (2002),-16.09,  5.16,  1.78, 68.60
Compiled by Martin and Moyen (2002),-12.72,  2.61,   NaN, 65.63
Compiled by Martin and Moyen (2002),-12.93,  2.26,   NaN, 66.70
Unpublished,-18.13,  5.36,  0.96, 70.25
Unpublished,-15.51,  3.20,  1.19, 67.47
Benn and Moyen, 2008,-19.54,  8.65,  0.81, 74.68
Benn and Moyen, 2008,-15.78,  4.83,  0.62, 68.84
Benn and Moyen, 2008,-14.20,  3.57,  0.73, 66.80
Benn and Moyen, 2008,-18.49,  7.83,  0.69, 72.61
Benn and Moyen, 2008,-13.24,  2.87,  0.59, 65.39
Benn and Moyen, 2008,-15.94,  4.99,  0.55, 68.57
Benn and Moyen, 2008,-14.13,  2.66,  2.91, 65.80
Benn and Moyen, 2008,-15.60,  5.78,  1.29, 69.85
Benn and Moyen, 2008,-18.44,  6.86,  0.64, 72.53
Benn and Moyen, 2008,-17.42,  6.27,   NaN, 73.11
Benn and Moyen, 2008, -7.29,  3.02,  3.49, 61.91
Benn and Moyen, 2008,-16.13,  5.96,  1.19, 70.50
Benn and Moyen, 2008,-20.05,  9.10,  1.12, 75.15
Benn and Moyen, 2008,-19.53,  9.45,  0.71, 75.25
Benn and Moyen, 2008,-18.91,  8.17,  0.41, 73.84
Benn and Moyen, 2008,-19.20,  8.59,  0.79, 74.42
Benn and Moyen, 2008,-17.45,  7.05,  0.73, 72.19
Benn and Moyen, 2008,-21.32, 10.89,  0.89, 77.40
Benn and Moyen, 2008,-20.44,  9.97,  0.93, 75.96
Benn and Moyen, 2008,-17.14,  6.83,  0.87, 72.06
Benn and Moyen, 2008,-19.88,  9.09,  0.85, 75.46
Benn and Moyen, 2008,-16.82,  6.72,  1.23, 72.03
Benn and Moyen, 2008,-18.50,  7.66,  0.46, 73.41
Bédard, 2006,-14.01,  2.96,  0.85, 66.92
Bédard, 2006,-12.19,  1.08,  0.79, 64.04
Bédard, 2006,-13.93,  3.23,  0.57, 66.73
Bédard, 2006,-14.14,  2.71,  0.74, 66.86
Bédard, 2006,-17.25,  6.13,  2.34, 71.18
Bédard, 2006,-18.08,  5.70,   NaN, 70.71
Bédard, 2006,-15.36,  4.25,   NaN, 68.57
Bédard, 2006,-16.53,  5.87,   NaN, 71.12
Bédard, 2006,-14.42,  3.58,   NaN, 67.39
Bédard, 2006,-16.26,  5.33,   NaN, 70.06
Bédard, 2006,-11.88,  2.84,   NaN, 65.54
Bédard, 2006,-15.10,  3.75,   NaN, 67.58
Bédard, 2006,-17.05,  5.56,   NaN, 70.39
Bédard, 2006,-12.13,  1.07,  0.77, 64.14
Bédard, 2006,-19.19,  6.92,  1.73, 72.46
Bédard, 2006,-18.87,  7.04,   NaN, 72.81
Bédard, 2006,-19.17,  7.36,   NaN, 73.34
Bédard, 2006,-13.76,  2.53,   NaN, 66.21
Bédard, 2006,-13.33,  3.27,   NaN, 66.91
Bédard, 2006,-12.27,  0.75,   NaN, 64.43
Bédard, 2006,-19.08,  7.40,   NaN, 73.33
Bédard, 2006,-17.72,  6.25,  0.79, 71.37
Bédard, 2006,-18.26,  6.65,  1.96, 71.67
Bédard, 2006,-18.50,  6.93,   NaN, 72.30
Bédard, 2006,-17.75,  5.73,   NaN, 70.83
Bédard, 2006,-18.27,  6.10,  0.69, 71.38
Bédard, 2006,-18.37,  7.40,   NaN, 72.83
Bédard, 2006,-17.24,  5.61,  0.44, 70.34
Bédard, 2006,-19.50,  8.46,   NaN, 74.01
Bédard, 2006,-17.74,  5.96,   NaN, 70.97
Bédard, 2006,-18.40,  6.72,   NaN, 72.47
Bédard, 2006,-19.98,  8.32,  1.46, 74.79
Bédard, 2006,-10.01, -0.39,  0.30, 62.47
Bédard, 2006,-13.94,  3.25,  0.46, 67.03
Bédard, 2006,-10.99,  1.36,   NaN, 63.86
Bédard, 2006,-19.32,  7.90,  1.34, 73.32
Compiled by Martin and Moyen (2002),-16.49,  4.81,  2.32, 68.74
Compiled by Martin and Moyen (2002),-17.81,  7.59,   NaN, 71.89
Compiled by Martin and Moyen (2002),-17.99,  6.68,   NaN, 71.89
Martin 1987,-17.68,  6.33,   NaN, 71.27
Martin 1987,-16.24,  4.96,   NaN, 68.87
Martin 1987,-17.22,  6.13,   NaN, 70.21
Martin 1987,-16.23,  5.10,   NaN, 69.01
Martin 1987,-17.81,  6.18,   NaN, 70.53
Martin 1987,-17.34,  5.66,   NaN, 70.02
Martin 1987,-18.14,  6.51,   NaN, 71.55
Martin 1987,-19.56,  7.83,   NaN, 73.19
Martin 1987,-19.58,  7.73,   NaN, 73.07
Martin 1987,-19.21,  8.21,   NaN, 73.54
Martin 1987,-18.77,  7.56,   NaN, 72.81
Martin 1987,-16.32,  5.12,   NaN, 69.62
Compiled by Martin and Moyen (2002),-16.53,  4.55,   NaN, 68.82
Barbosa et al. 2004,-14.22,  2.50,   NaN, 66.29
Barbosa et al. 2004,-14.39,  1.94,   NaN, 65.90
Barbosa et al. 2004,-18.55,  6.56,   NaN, 71.34
Barbosa et al. 2004,-21.33, 10.43,   NaN, 76.12
Compiled by Martin and Moyen (2002),-12.42,  2.58,   NaN, 65.36
Compiled by Martin and Moyen (2002),-16.02,  3.80,   NaN, 67.97
Compiled by Martin and Moyen (2002),-12.76,  3.79,   NaN, 66.84
Compiled by Martin and Moyen (2002),-10.36,  1.24,   NaN, 63.61
Compiled by Martin and Moyen (2002),-11.34,  1.65,   NaN, 64.07
Compiled by Martin and Moyen (2002),-18.70,  7.97,   NaN, 75.00
Compiled by Martin and Moyen (2002),-19.18,  7.29,   NaN, 72.38
Compiled by Martin and Moyen (2002),-15.51,  3.87,   NaN, 67.15
Compiled by Martin and Moyen (2002),-11.05,  2.04,   NaN, 63.41
Compiled by Martin and Moyen (2002),-15.22,  4.19,   NaN, 67.35
Compiled by Martin and Moyen (2002),-16.81,  3.50,   NaN, 67.74
Compiled by Martin and Moyen (2002),-18.45,  6.24,   NaN, 71.23
Compiled by Martin and Moyen (2002),-18.99,  6.94,   NaN, 72.19
Compiled by Martin and Moyen (2002),-16.37,  4.79,   NaN, 69.91
Compiled by Martin and Moyen (2002),-16.03,  3.67,   NaN, 68.23
Compiled by Martin and Moyen (2002),-12.46,  0.53,   NaN, 64.08
Compiled by Martin and Moyen (2002),-16.97,  5.32,   NaN, 70.47
Compiled by Martin and Moyen (2002),-16.45,  4.41,   NaN, 69.02
Compiled by Martin and Moyen (2002),-16.57,  4.48,   NaN, 69.20
Compiled by Martin and Moyen (2002),-17.60,  5.95,   NaN, 70.82
Compiled by Martin and Moyen (2002),-17.14,  5.32,   NaN, 70.12
Compiled by Martin and Moyen (2002),-11.05,  1.40,  1.00, 63.44
Compiled by Martin and Moyen (2002),-13.08,  1.92,  0.48, 65.16
Compiled by Martin and Moyen (2002),-15.21,  4.04,  0.69, 67.89
Compiled by Martin and Moyen (2002),-12.88,  0.36,  0.96, 63.19
Compiled by Martin and Moyen (2002),-15.79,  4.14,  0.98, 68.22
Compiled by Martin and Moyen (2002),-17.84,  6.27,   NaN, 70.82
Compiled by Martin and Moyen (2002),-17.53,  5.53,   NaN, 69.95
Compiled by Martin and Moyen (2002),-17.39,  5.29,   NaN, 69.61
Compiled by Martin and Moyen (2002),-13.46,  2.04,   NaN, 65.80
Compiled by Martin and Moyen (2002),-13.35,  1.31,   NaN, 65.05
Compiled by Martin and Moyen (2002),-13.96,  2.79,  1.26, 66.48
Compiled by Martin and Moyen (2002),-14.02,  3.67,  0.55, 67.09
Compiled by Martin and Moyen (2002),-14.81,  3.91,  0.96, 67.54
Compiled by Martin and Moyen (2002),-19.35,  8.50,  0.59, 74.50
Compiled by Martin and Moyen (2002),-16.45,  5.80,  0.48, 70.70
Compiled by Martin and Moyen (2002),-12.48,  1.85,  0.88, 64.06
Compiled by Martin and Moyen (2002),-14.31,  4.04,  2.32, 66.96
Compiled by Martin and Moyen (2002),-14.31,  3.67,  2.22, 66.51
Compiled by Martin and Moyen (2002),-15.00,  5.16,   NaN, 68.60
Compiled by Martin and Moyen (2002),-14.52,  2.47,   NaN, 67.03
Compiled by Martin and Moyen (2002),-14.22,  2.72,   NaN, 66.80
Compiled by Martin and Moyen (2002),-14.40,  2.35,   NaN, 66.75
Compiled by Martin and Moyen (2002),-15.10,  3.04,   NaN, 67.48
Compiled by Martin and Moyen (2002),-15.44,  3.21,   NaN, 67.84
Compiled by Martin and Moyen (2002),-15.07,  3.35,   NaN, 67.48
Compiled by Martin and Moyen (2002),-16.14,  3.61,   NaN, 68.23
Compiled by Martin and Moyen (2002),-16.06,  4.26,   NaN, 68.84
Compiled by Martin and Moyen (2002),-16.54,  4.70,   NaN, 69.33
Compiled by Martin and Moyen (2002),-16.52,  4.12,   NaN, 69.05
Compiled by Martin and Moyen (2002),-16.88,  5.52,   NaN, 70.37
Compiled by Martin and Moyen (2002),-13.91,  4.81,   NaN, 68.55
Compiled by Martin and Moyen (2002),-15.16,  3.60,   NaN, 67.67
Compiled by Martin and Moyen (2002),-16.00,  4.50,   NaN, 69.19
Compiled by Martin and Moyen (2002),-17.01,  3.86,   NaN, 68.33
Compiled by Martin and Moyen (2002),-17.24,  4.80,   NaN, 69.31
Compiled by Martin and Moyen (2002),-18.03,  6.19,   NaN, 71.18
Compiled by Martin and Moyen (2002),-17.59,  5.13,   NaN, 70.49
Compiled by Martin and Moyen (2002),-15.11,  4.74,  0.81, 69.05
Compiled by Martin and Moyen (2002),-10.82,  0.35,  0.47, 63.32
Compiled by Martin and Moyen (2002),-14.58,  4.18,   NaN, 67.80
Compiled by Martin and Moyen (2002),-16.06,  4.69,   NaN, 69.10
Compiled by Martin and Moyen (2002),-19.67,  8.47,   NaN, 73.80
Compiled by Martin and Moyen (2002),-11.06,  1.29,   NaN, 64.17
Compiled by Martin and Moyen (2002),-14.66,  3.74,   NaN, 67.32
Compiled by Martin and Moyen (2002),-15.92,  4.05,   NaN, 68.74
Compiled by Martin and Moyen (2002),-17.45,  5.65,   NaN, 70.43
Compiled by Martin and Moyen (2002),-16.68,  5.31,   NaN, 69.78
Compiled by Martin and Moyen (2002),-13.90,  2.25,  1.90, 65.05
Compiled by Martin and Moyen (2002),-15.33,  4.11,   NaN, 68.22
Compiled by Martin and Moyen (2002),-16.49,  5.23,   NaN, 69.61
Compiled by Martin and Moyen (2002),-16.42,  5.04,   NaN, 69.31
Compiled by Martin and Moyen (2002),-16.80,  5.36,   NaN, 69.86
Compiled by Martin and Moyen (2002),-15.45,  3.01,   NaN, 66.96
Compiled by Martin and Moyen (2002),-16.24,  3.82,   NaN, 68.11
Compiled by Martin and Moyen (2002),-17.47,  5.77,   NaN, 70.34
Compiled by Martin and Moyen (2002),-17.12,  5.53,   NaN, 70.16
Compiled by Martin and Moyen (2002),-18.13,  6.29,   NaN, 71.20
Compiled by Martin and Moyen (2002),-17.76,  6.19,   NaN, 70.88
Compiled by Martin and Moyen (2002),-16.84,  5.29,   NaN, 69.66
Compiled by Martin and Moyen (2002),-19.84,  8.11,   NaN, 74.91
Compiled by Martin and Moyen (2002),-10.18, -1.33,   NaN, 61.47
Compiled by Martin and Moyen (2002),-11.99,  1.02,   NaN, 64.59
Compiled by Martin and Moyen (2002),-12.86,  1.31,   NaN, 65.14
Compiled by Martin and Moyen (2002),-17.43,  5.71,   NaN, 70.19
Compiled by Martin and Moyen (2002),-18.58,  7.12,   NaN, 72.62
Compiled by Martin and Moyen (2002),-14.45,  3.50,   NaN, 67.09
Compiled by Martin and Moyen (2002),-16.17,  4.75,   NaN, 69.14
Compiled by Martin and Moyen (2002),-17.67,  6.07,   NaN, 71.05
Compiled by Martin and Moyen (2002),-19.11,  7.53,   NaN, 73.11
Compiled by Martin and Moyen (2002),-17.82,  6.36,   NaN, 71.19
Compiled by Martin and Moyen (2002),-18.33,  6.84,   NaN, 72.01
Compiled by Martin and Moyen (2002),-18.40,  6.80,   NaN, 71.97
Compiled by Martin and Moyen (2002),-16.02,  4.09,  2.23, 68.31
Compiled by Martin and Moyen (2002),-16.78,  4.93,  2.14, 69.97
Compiled by Martin and Moyen (2002),-11.14,  2.34,   NaN, 64.56
Compiled by Martin and Moyen (2002),-16.46,  5.30,   NaN, 70.01
Compiled by Martin and Moyen (2002),-15.18,  4.40,   NaN, 68.50
Compiled by Martin and Moyen (2002),-12.11,  2.75,   NaN, 65.49
Compiled by Martin and Moyen (2002),-13.10,  1.81,   NaN, 64.56
Compiled by Martin and Moyen (2002),-11.78,  1.85,   NaN, 64.20
Compiled by Martin and Moyen (2002),-16.76,  4.68,   NaN, 69.25
Compiled by Martin and Moyen (2002),-21.05,  9.03,   NaN, 75.49
Compiled by Martin and Moyen (2002),-16.22,  3.67,   NaN, 67.85
Compiled by Martin and Moyen (2002),-15.76,  3.86,   NaN, 68.38
Compiled by Martin and Moyen (2002),-16.92,  5.50,   NaN, 70.26
Compiled by Martin and Moyen (2002),-12.67,  1.64,   NaN, 64.93
Compiled by Martin and Moyen (2002),-14.21,  2.51,   NaN, 65.88
Compiled by Martin and Moyen (2002),-16.00,  4.20,   NaN, 68.41
Compiled by Martin and Moyen (2002),-16.92,  5.69,   NaN, 70.09
Compiled by Martin and Moyen (2002),-14.96,  2.97,  1.29, 66.67
Compiled by Martin and Moyen (2002),-18.13,  6.72,  1.14, 71.63
Compiled by Martin and Moyen (2002),-13.00,  2.84,   NaN, 65.92
Compiled by Martin and Moyen (2002),-14.82,  3.54,   NaN, 67.06
Compiled by Martin and Moyen (2002),-15.61,  4.48,   NaN, 68.42
Compiled by Martin and Moyen (2002),-16.68,  5.73,   NaN, 69.65
Compiled by Martin and Moyen (2002),-17.61,  5.93,   NaN, 70.35
Compiled by Martin and Moyen (2002),-18.07,  6.32,   NaN, 71.15
Compiled by Martin and Moyen (2002),-18.32,  6.76,   NaN, 71.66
Compiled by Martin and Moyen (2002),-18.13,  6.82,   NaN, 71.68
Compiled by Martin and Moyen (2002),-11.82,  2.42,   NaN, 64.87
Compiled by Martin and Moyen (2002),-12.53,  2.29,   NaN, 65.10
Compiled by Martin and Moyen (2002),-17.38,  6.05,   NaN, 70.32
Compiled by Martin and Moyen (2002),-18.97,  7.30,   NaN, 73.07
Compiled by Martin and Moyen (2002),-19.75,  7.53,   NaN, 73.51
Compiled by Martin and Moyen (2002),-13.19,  2.71,   NaN, 66.13
Compiled by Martin and Moyen (2002),-16.99,  5.16,   NaN, 70.08
Compiled by Martin and Moyen (2002),-20.05,  9.29,   NaN, 76.31
Compiled by Martin and Moyen (2002),-16.91,  5.83,   NaN, 70.23
Compiled by Martin and Moyen (2002),-17.58,  6.73,   NaN, 71.22
Compiled by Martin and Moyen (2002),-18.24,  6.59,   NaN, 71.53
Compiled by Martin and Moyen (2002),-18.01,  6.55,   NaN, 71.36
Compiled by Martin and Moyen (2002),-16.37,  4.60,   NaN, 69.67
Compiled by Martin and Moyen (2002),-12.31,  0.58,  0.82, 64.63
Compiled by Martin and Moyen (2002),-21.11,  9.54,   NaN, 75.08
Compiled by Martin and Moyen (2002),-20.85,  9.34,  1.56, 74.67
Compiled by Martin and Moyen (2002),-17.90,  6.50,  2.48, 71.24
Compiled by Martin and Moyen (2002),-20.22,  8.81,   NaN, 74.09
Compiled by Martin and Moyen (2002),-18.37,  6.78,   NaN, 71.87
Compiled by Martin and Moyen (2002),-15.62,  4.13,   NaN, 68.83
Compiled by Martin and Moyen (2002),-16.63,  6.29,   NaN, 70.28
Compiled by Martin and Moyen (2002),-20.07,  9.14,   NaN, 73.92
Compiled by Martin and Moyen (2002),-17.72,  7.65,   NaN, 72.24
Compiled by Martin and Moyen (2002),-14.36,  4.21,   NaN, 67.51
Compiled by Martin and Moyen (2002),-18.02,  6.14,   NaN, 71.18
Compiled by Martin and Moyen (2002),-17.17,  5.51,   NaN, 70.18
Compiled by Martin and Moyen (2002),-17.83,  6.62,  0.87, 71.45
Compiled by Martin and Moyen (2002),-15.47,  4.52,   NaN, 68.81
Compiled by Martin and Moyen (2002),-17.62,  5.61,   NaN, 70.71
Compiled by Martin and Moyen (2002),-17.70,  4.43,   NaN, 68.72
Compiled by Martin and Moyen (2002),-18.93,  6.75,   NaN, 72.35
Compiled by Martin and Moyen (2002),-15.74,  2.80,   NaN, 66.35
Compiled by Martin and Moyen (2002),-17.53,  4.37,   NaN, 68.61
Compiled by Martin and Moyen (2002),-17.46,  5.32,   NaN, 70.18
Compiled by Martin and Moyen (2002),-17.66,  5.93,   NaN, 71.15
Compiled by Martin and Moyen (2002),-16.49,  5.84,   NaN, 70.83
Compiled by Martin and Moyen (2002),-18.41,  8.34,   NaN, 74.37
Compiled by Martin and Moyen (2002),-18.13,  6.25,   NaN, 71.54
Compiled by Martin and Moyen (2002),-19.16,  7.30,   NaN, 73.06
Compiled by Martin and Moyen (2002),-18.66,  6.95,   NaN, 72.54
Compiled by Martin and Moyen (2002),-16.77,  4.08,   NaN, 68.61
Compiled by Martin and Moyen (2002),-17.41,  4.60,   NaN, 69.33
Compiled by Martin and Moyen (2002),-16.36,  3.87,   NaN, 68.12
Compiled by Martin and Moyen (2002),-18.19,  6.36,   NaN, 71.64
Compiled by Martin and Moyen (2002),-16.19,  5.16,   NaN, 70.59
Compiled by Martin and Moyen (2002),-18.20,  7.22,   NaN, 73.13
Compiled by Martin and Moyen (2002),-16.48,  5.30,   NaN, 70.90
Compiled by Martin and Moyen (2002),-18.42,  7.61,   NaN, 72.33
Compiled by Martin and Moyen (2002),-18.16,  7.71,   NaN, 71.68
Compiled by Martin and Moyen (2002),-15.44,  4.05,  2.93, 68.10
Compiled by Martin and Moyen (2002),-17.03,  5.33,   NaN, 69.89
Compiled by Martin and Moyen (2002),-16.99,  5.38,   NaN, 70.04
Compiled by Martin and Moyen (2002),-13.66,  2.04,  1.85, 65.55
Compiled by Martin and Moyen (2002),-13.96,  1.52,  2.19, 64.82
Compiled by Martin and Moyen (2002),-13.20,  2.46,   NaN, 65.54
Compiled by Martin and Moyen (2002),-16.87,  5.66,  1.38, 70.27
Compiled by Martin and Moyen (2002),-15.34,  4.21,   NaN, 68.22
Compiled by Martin and Moyen (2002),-15.89,  4.85,  1.21, 68.84
Compiled by Martin and Moyen (2002),-15.56,  4.41,   NaN, 68.47
Compiled by Martin and Moyen (2002),-16.07,  5.22,  1.28, 69.36
Compiled by Martin and Moyen (2002),-18.79,  6.88,  1.42, 72.03
Compiled by Martin and Moyen (2002),-14.06,  2.44,  1.95, 65.82
Compiled by Martin and Moyen (2002),-16.04,  4.33,  1.33, 68.91
Compiled by Martin and Moyen (2002),-16.95,  5.20,   NaN, 69.93
Compiled by Martin and Moyen (2002),-12.97,  3.46,   NaN, 66.92
Compiled by Martin and Moyen (2002),-10.93,  1.48,   NaN, 63.77
Compiled by Martin and Moyen (2002),-17.04,  5.37,   NaN, 70.04
Compiled by Martin and Moyen (2002),-10.08,  0.84,   NaN, 63.85
